Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
Now You See Me 2;Jun;10;2016;90;6.507.554;32.867.554
Crocodile Dundee;Sep;26;1986;8.Ağu;174.803.506;328.203.506
Se7en;Sep;22;1995;30;100.125.643;328.125.643
Bolt;Nov;21;2008;150;114.053.579;328.015.029
Taken 3;Jan;9;2015;48;89.256.424;327.656.424
The Devil Wears Prada;Jun;30;2006;35;12.474.046;326.073.155
The Hunchback of Notre Dame;Jun;21;1996;100;100.138.851;325.5
Robin Hood;May;14;2010;210;105.487.148;322.459.006
Megamind;Nov;5;2010;130;148.415.853;321.887.208
Schindler's List;Dec;15;1993;25;96.067.179;321.365.567
Fatal Attraction;Sep;18;1987;14;156.645.693;320.1
The Last Airbender;Jul;1;2010;150;131.772.187;319.713.881
Lethal Weapon 3;May;15;1992;35;144.731.527;319.7
Journey 2: The Mysterious Island;Feb;10;2012;79;10.386.029;318.146.162
The Conjuring;Jul;19;2013;20;137.400.141;318.000.141
A Beautiful Mind;Dec;21;2001;78;170.708.996;317.668.058
Inglourious Basterds;Aug;21;2009;70;120.774.594;316.915.264
Beverly Hills Cop;Dec;5;1984;15;234.760.478;316.3
Disney’s A Christmas Carol;Nov;6;2009;190;137.855.863;315.709.697
Air Force One;Jul;25;1997;85;172.956.409;315.268.353
The Proposal;Jun;19;2009;40;163.958.031;314.709.717
Prince of Persia: Sands of Time;May;28;2010;200;90.759.676;314.594.597
Austin Powers: The Spy Who Shagged Me;Jun;10;1999;35;206.040.085;312.383.487
The Expendables 2;Aug;17;2012;100;85.028.192;311.979.256
Ocean's Thirteen;Jun;8;2007;85;117.144.465;311.744.465
The SpongeBob Movie: Sponge Out of Water;Feb;6;2015;74;162.994.032;311.594.032
The Conjuring 2: The Enfield Poltergeist;Jun;10;2016;40;102.470.008;311.270.008
The Lego Batman Movie;Feb;10;2017;80;175.750.384;310.940.997
Maze Runner: The Scorch Trials;Sep;18;2015;61;81.697.192;310.697.192
Little Fockers;Dec;22;2010;100;1.484.386;310.650.574
The Polar Express;Nov;10;2004;170;186.493.587;310.634.169
Runaway Bride;Jul;30;1999;70;152.257.509;310.138.178
Chicken Little;Nov;4;2005;60;135.386.665;310.043.823
Ransom;Nov;8;1996;70;136.492.681;308.7
Resident Evil: The Final Chapter;Jan;27;2017;40;26.844.692;307.353.906
The Pursuit of Happyness;Dec;15;2006;55;162.586.036;307.325.633
The Pursuit of Happyness;Dec;15;2006;55;162.586.036;307.325.633
The Fault in Our Stars;Jun;6;2014;12;12.487.235;307.166.834
Rise of the Guardians;Nov;21;2012;145;103.412.758;306.900.902
Chicago;Dec;27;2002;30;170.687.518;306.770.545
The Blind Side;Nov;20;2009;35;255.959.475;305.705.794
Annabelle: Creation;Aug;11;2017;15;102.092.201;305.492.201
Wrath of the Titans;Mar;30;2012;150;83.670.083;305.270.083
Battleship;May;18;2012;209;652.334;305.218.228
A Good Day to Die Hard;Feb;14;2013;92;67.349.198;304.249.198
Mulan;Jun;19;1998;90;120.620.254;303.5
Liar Liar;Mar;21;1997;45;181.410.615;302.710.615
G.I. Joe: The Rise of Cobra;Aug;7;2009;175;150.201.498;302.469.017
Passengers;Dec;21;2016;110;100.014.699;302.212.434
